epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,23641.9,0.6615,2.99438,0.25657,0.41779,1.09469,0.9708,0.97821,0.99094,0.89762,0.87205,0.83318,0.85773,0.7178,0.53267,1.81845,0.05034,0.27063,0.96787,0.005446,0.005446,0.005446
48,24497.7,0.66157,3.00139,0.25147,0.41433,1.09174,0.97097,0.97795,0.99098,0.89738,0.87127,0.83714,0.86193,0.71879,0.53225,1.8117,0.04948,0.26969,0.96739,0.005347,0.005347,0.005347
49,24822.5,0.65663,2.95061,0.25104,0.41059,1.08888,0.9709,0.97781,0.99105,0.89757,0.87041,0.83675,0.85812,0.71893,0.53191,1.80919,0.04889,0.26944,0.96759,0.005248,0.005248,0.005248
50,25107.2,0.65522,2.95635,0.25089,0.41051,1.09052,0.97096,0.97732,0.99073,0.89777,0.87122,0.83841,0.86121,0.71887,0.53117,1.80656,0.04833,0.26929,0.96704,0.005149,0.005149,0.005149
51,25362.6,0.65884,2.95337,0.24951,0.41278,1.09131,0.97091,0.97818,0.99102,0.89766,0.86904,0.8393,0.8576,0.71883,0.53075,1.80034,0.04812,0.2689,0.96655,0.00505,0.00505,0.00505
52,25623.4,0.64994,2.88436,0.24733,0.40645,1.08392,0.971,0.97696,0.9912,0.89773,0.87097,0.83892,0.86125,0.72041,0.53072,1.79271,0.04767,0.2685,0.96636,0.004951,0.004951,0.004951
53,25874,0.64431,2.84913,0.24578,0.4035,1.08277,0.97184,0.97653,0.99122,0.89773,0.87238,0.83854,0.86184,0.72146,0.53035,1.78596,0.04726,0.26728,0.96604,0.004852,0.004852,0.004852
54,26113.1,0.64664,2.88065,0.2468,0.40802,1.08676,0.97284,0.97684,0.9912,0.89789,0.87194,0.84109,0.86199,0.72091,0.52931,1.78342,0.04705,0.26633,0.96522,0.004753,0.004753,0.004753
55,26352.8,0.64212,2.808,0.24422,0.40086,1.08081,0.97395,0.97579,0.99122,0.898,0.87436,0.84223,0.8642,0.72245,0.52861,1.77587,0.04679,0.26524,0.96473,0.004654,0.004654,0.004654
56,26591,0.64034,2.83106,0.24392,0.40121,1.08295,0.97321,0.97669,0.99127,0.89849,0.87332,0.84253,0.86378,0.72347,0.52814,1.77031,0.04656,0.26508,0.96461,0.004555,0.004555,0.004555
57,26828.5,0.63861,2.80322,0.24128,0.39734,1.07882,0.97304,0.97655,0.99122,0.89894,0.87294,0.84542,0.86536,0.7241,0.52715,1.76632,0.04637,0.26462,0.96374,0.004456,0.004456,0.004456
58,27073.3,0.63786,2.79551,0.24157,0.39599,1.07777,0.97235,0.97682,0.99123,0.89935,0.87404,0.84402,0.86538,0.72532,0.52639,1.76367,0.04623,0.26421,0.96317,0.004357,0.004357,0.004357
59,27322.7,0.63544,2.7632,0.23985,0.39314,1.07629,0.9724,0.97719,0.99125,0.89934,0.87433,0.84408,0.86597,0.72571,0.52567,1.75944,0.04608,0.26355,0.96275,0.004258,0.004258,0.004258
